Called number,type coverage,method name,coverage each time run,number of called Z3
4,STATEMENT,getNumOfLenBytes,100.0,4
5,STATEMENT,getNumOfLenBytes,100.0,4
6,STATEMENT,getNumOfLenBytes,100.0,4
7,STATEMENT,getNumOfLenBytes,100.0,4
8,STATEMENT,getNumOfLenBytes,100.0,4
9,STATEMENT,getNumOfLenBytes,100.0,4
10,STATEMENT,getNumOfLenBytes,100.0,4
1,STATEMENT,getPairIndex,100.0,2
2,STATEMENT,getPairIndex,100.0,2
3,STATEMENT,getPairIndex,100.0,2
4,STATEMENT,getPairIndex,100.0,2
5,STATEMENT,getPairIndex,100.0,2
6,STATEMENT,getPairIndex,100.0,2
7,STATEMENT,getPairIndex,100.0,2
8,STATEMENT,getPairIndex,100.0,2
9,STATEMENT,getPairIndex,100.0,2
10,STATEMENT,getPairIndex,100.0,2
1,STATEMENT,getPrimaries,100.0,3
2,STATEMENT,getPrimaries,100.0,3
3,STATEMENT,getPrimaries,100.0,3
4,STATEMENT,getPrimaries,100.0,3
5,STATEMENT,getPrimaries,100.0,3
6,STATEMENT,getPrimaries,100.0,3
7,STATEMENT,getPrimaries,100.0,3
8,STATEMENT,getPrimaries,100.0,3
9,STATEMENT,getPrimaries,100.0,3
10,STATEMENT,getPrimaries,100.0,3
1,STATEMENT,getQuaternaries,100.0,6
2,STATEMENT,getQuaternaries,100.0,6
3,STATEMENT,getQuaternaries,100.0,6
4,STATEMENT,getQuaternaries,100.0,6
5,STATEMENT,getQuaternaries,100.0,6
6,STATEMENT,getQuaternaries,100.0,6
7,STATEMENT,getQuaternaries,100.0,6
8,STATEMENT,getQuaternaries,100.0,6
9,STATEMENT,getQuaternaries,100.0,6
10,STATEMENT,getQuaternaries,100.0,6
1,STATEMENT,getSecondariesFromOneShortCE,100.0,1
2,STATEMENT,getSecondariesFromOneShortCE,100.0,1
3,STATEMENT,getSecondariesFromOneShortCE,100.0,1
4,STATEMENT,getSecondariesFromOneShortCE,100.0,1
5,STATEMENT,getSecondariesFromOneShortCE,100.0,1
6,STATEMENT,getSecondariesFromOneShortCE,100.0,1
7,STATEMENT,getSecondariesFromOneShortCE,100.0,1
8,STATEMENT,getSecondariesFromOneShortCE,100.0,1
9,STATEMENT,getSecondariesFromOneShortCE,100.0,1
10,STATEMENT,getSecondariesFromOneShortCE,100.0,1
1,STATEMENT,getTertiaries,100.0,12
2,STATEMENT,getTertiaries,100.0,12
3,STATEMENT,getTertiaries,100.0,12
4,STATEMENT,getTertiaries,100.0,12
5,STATEMENT,getTertiaries,100.0,12
6,STATEMENT,getTertiaries,100.0,12
7,STATEMENT,getTertiaries,100.0,12
8,STATEMENT,getTertiaries,100.0,12
9,STATEMENT,getTertiaries,100.0,12
10,STATEMENT,getTertiaries,100.0,12
1,STATEMENT,highBit,100.0,4
2,STATEMENT,highBit,100.0,4
3,STATEMENT,highBit,100.0,4
4,STATEMENT,highBit,100.0,4
5,STATEMENT,highBit,100.0,4
6,STATEMENT,highBit,100.0,4
7,STATEMENT,highBit,100.0,4
8,STATEMENT,highBit,100.0,4
9,STATEMENT,highBit,100.0,4
10,STATEMENT,highBit,100.0,4
1,STATEMENT,isCompatibleBrand,100.0,2
2,STATEMENT,isCompatibleBrand,100.0,2
3,STATEMENT,isCompatibleBrand,100.0,2
4,STATEMENT,isCompatibleBrand,100.0,2
5,STATEMENT,isCompatibleBrand,100.0,2
6,STATEMENT,isCompatibleBrand,100.0,2
7,STATEMENT,isCompatibleBrand,100.0,2
8,STATEMENT,isCompatibleBrand,100.0,2
9,STATEMENT,isCompatibleBrand,100.0,2
10,STATEMENT,isCompatibleBrand,100.0,2
1,STATEMENT,lookup,100.0,3
2,STATEMENT,lookup,100.0,3
3,STATEMENT,lookup,100.0,3
4,STATEMENT,lookup,100.0,3
5,STATEMENT,lookup,100.0,3
6,STATEMENT,lookup,100.0,3
7,STATEMENT,lookup,100.0,3
8,STATEMENT,lookup,100.0,3
9,STATEMENT,lookup,100.0,3
10,STATEMENT,lookup,100.0,3
1,STATEMENT,mulsub,100.0,1
2,STATEMENT,mulsub,100.0,1
3,STATEMENT,mulsub,100.0,1
4,STATEMENT,mulsub,100.0,1
5,STATEMENT,mulsub,100.0,1
6,STATEMENT,mulsub,100.0,1
7,STATEMENT,mulsub,100.0,1
8,STATEMENT,mulsub,100.0,1
9,STATEMENT,mulsub,100.0,1
10,STATEMENT,mulsub,100.0,1
1,STATEMENT,mulsubBorrow,100.0,1
2,STATEMENT,mulsubBorrow,100.0,1
3,STATEMENT,mulsubBorrow,100.0,1
4,STATEMENT,mulsubBorrow,100.0,1
5,STATEMENT,mulsubBorrow,100.0,1
6,STATEMENT,mulsubBorrow,100.0,1
7,STATEMENT,mulsubBorrow,100.0,1
8,STATEMENT,mulsubBorrow,100.0,1
9,STATEMENT,mulsubBorrow,100.0,1
10,STATEMENT,mulsubBorrow,100.0,1
1,STATEMENT,next,100.0,0
2,STATEMENT,next,100.0,0
