Called number,type coverage,method name,average variable each time run,average expression each time run
1,BRANCH,mulsub,3,13
2,BRANCH,mulsub,3,13
3,BRANCH,mulsub,3,13
4,BRANCH,mulsub,3,13
5,BRANCH,mulsub,3,13
6,BRANCH,mulsub,3,13
7,BRANCH,mulsub,3,13
8,BRANCH,mulsub,3,13
9,BRANCH,mulsub,3,13
10,BRANCH,mulsub,3,13
1,BRANCH,mulsubBorrow,3,13
2,BRANCH,mulsubBorrow,3,13
3,BRANCH,mulsubBorrow,3,13
4,BRANCH,mulsubBorrow,3,13
5,BRANCH,mulsubBorrow,3,13
6,BRANCH,mulsubBorrow,3,13
7,BRANCH,mulsubBorrow,3,13
8,BRANCH,mulsubBorrow,3,13
9,BRANCH,mulsubBorrow,3,13
10,BRANCH,mulsubBorrow,3,13
1,BRANCH,next,0,0
2,BRANCH,next,0,0
3,BRANCH,next,0,0
4,BRANCH,next,0,0
5,BRANCH,next,0,0
6,BRANCH,next,0,0
7,BRANCH,next,0,0
8,BRANCH,next,0,0
9,BRANCH,next,0,0
10,BRANCH,next,0,0
1,BRANCH,numberOfLeadingZeros,1,14.5
2,BRANCH,numberOfLeadingZeros,1,14.5
3,BRANCH,numberOfLeadingZeros,1,14.5
4,BRANCH,numberOfLeadingZeros,1,14.5
5,BRANCH,numberOfLeadingZeros,1,14.5
6,BRANCH,numberOfLeadingZeros,1,14.5
7,BRANCH,numberOfLeadingZeros,1,14.5
8,BRANCH,numberOfLeadingZeros,1,14.5
9,BRANCH,numberOfLeadingZeros,1,14.5
10,BRANCH,numberOfLeadingZeros,1,14.5
1,BRANCH,numberOfTrailingZeros,1,18.8
2,BRANCH,numberOfTrailingZeros,1,18.8
3,BRANCH,numberOfTrailingZeros,1,18.8
4,BRANCH,numberOfTrailingZeros,1,18.8
5,BRANCH,numberOfTrailingZeros,1,18.8
6,BRANCH,numberOfTrailingZeros,1,18.8
7,BRANCH,numberOfTrailingZeros,1,18.8
8,BRANCH,numberOfTrailingZeros,1,18.8
9,BRANCH,numberOfTrailingZeros,1,18.8
10,BRANCH,numberOfTrailingZeros,1,18.8
1,BRANCH,pow,1.5,7.5
2,BRANCH,pow,1.5,7.5
3,BRANCH,pow,1.5,7.5
4,BRANCH,pow,1.5,7.5
5,BRANCH,pow,1.5,7.5
6,BRANCH,pow,1.5,7.5
7,BRANCH,pow,1.5,7.5
8,BRANCH,pow,1.5,7.5
9,BRANCH,pow,1.5,7.5
10,BRANCH,pow,1.5,7.5
1,BRANCH,random,1.8,13.6
2,BRANCH,random,1.8,13.6
3,BRANCH,random,1.8,13.6
4,BRANCH,random,1.8,13.6
5,BRANCH,random,1.8,13.6
6,BRANCH,random,1.8,13.6
7,BRANCH,random,1.8,13.6
8,BRANCH,random,1.8,13.6
9,BRANCH,random,1.8,13.6
10,BRANCH,random,1.8,13.6
1,BRANCH,readBits,3.3333,14
2,BRANCH,readBits,3.3333,14
3,BRANCH,readBits,3.3333,14
4,BRANCH,readBits,3.3333,14
5,BRANCH,readBits,3.3333,14
6,BRANCH,readBits,3.3333,14
7,BRANCH,readBits,3.3333,14
8,BRANCH,readBits,3.3333,14
9,BRANCH,readBits,3.3333,14
10,BRANCH,readBits,3.3333,14
1,BRANCH,saturatedAdd,2,11
2,BRANCH,saturatedAdd,2,11
3,BRANCH,saturatedAdd,2,11
4,BRANCH,saturatedAdd,2,11
5,BRANCH,saturatedAdd,2,11
6,BRANCH,saturatedAdd,2,11
7,BRANCH,saturatedAdd,2,11
8,BRANCH,saturatedAdd,2,11
9,BRANCH,saturatedAdd,2,11
10,BRANCH,saturatedAdd,2,11
1,BRANCH,saturatedMultiply,2,181.3333
2,BRANCH,saturatedMultiply,2,181.3333
3,BRANCH,saturatedMultiply,2,181.3333
4,BRANCH,saturatedMultiply,2,181.3333
5,BRANCH,saturatedMultiply,2,181.3333
6,BRANCH,saturatedMultiply,2,181.3333
7,BRANCH,saturatedMultiply,2,181.3333
8,BRANCH,saturatedMultiply,2,181.3333
9,BRANCH,saturatedMultiply,2,181.3333
10,BRANCH,saturatedMultiply,2,181.3333
1,BRANCH,saturatedSubtract,2,12
2,BRANCH,saturatedSubtract,2,12
3,BRANCH,saturatedSubtract,2,12
4,BRANCH,saturatedSubtract,2,12
5,BRANCH,saturatedSubtract,2,12
6,BRANCH,saturatedSubtract,2,12
7,BRANCH,saturatedSubtract,2,12
8,BRANCH,saturatedSubtract,2,12
9,BRANCH,saturatedSubtract,2,12
10,BRANCH,saturatedSubtract,2,12
1,BRANCH,set32x64Bits,0,0
2,BRANCH,set32x64Bits,0,0
3,BRANCH,set32x64Bits,0,0
4,BRANCH,set32x64Bits,0,0
5,BRANCH,set32x64Bits,0,0
6,BRANCH,set32x64Bits,0,0
7,BRANCH,set32x64Bits,0,0
8,BRANCH,set32x64Bits,0,0
9,BRANCH,set32x64Bits,0,0
10,BRANCH,set32x64Bits,0,0
1,BRANCH,slide,0,0
2,BRANCH,slide,0,0
3,BRANCH,slide,0,0
4,BRANCH,slide,0,0
5,BRANCH,slide,0,0
6,BRANCH,slide,0,0
7,BRANCH,slide,0,0
8,BRANCH,slide,0,0
9,BRANCH,slide,0,0
10,BRANCH,slide,0,0
1,BRANCH,stickyRound,1,8
2,BRANCH,stickyRound,1,8
3,BRANCH,stickyRound,1,8
4,BRANCH,stickyRound,1,8
5,BRANCH,stickyRound,1,8
6,BRANCH,stickyRound,1,8
7,BRANCH,stickyRound,1,8
8,BRANCH,stickyRound,1,8
9,BRANCH,stickyRound,1,8
10,BRANCH,stickyRound,1,8
1,BRANCH,subtractWithOverflowDefault,2,10.5
2,BRANCH,subtractWithOverflowDefault,2,10.5
3,BRANCH,subtractWithOverflowDefault,2,10.5
4,BRANCH,subtractWithOverflowDefault,2,10.5
5,BRANCH,subtractWithOverflowDefault,2,10.5
6,BRANCH,subtractWithOverflowDefault,2,10.5
7,BRANCH,subtractWithOverflowDefault,2,10.5
8,BRANCH,subtractWithOverflowDefault,2,10.5
9,BRANCH,subtractWithOverflowDefault,2,10.5
10,BRANCH,subtractWithOverflowDefault,2,10.5
1,BRANCH,tableSize,2,11
2,BRANCH,tableSize,2,11
3,BRANCH,tableSize,2,11
4,BRANCH,tableSize,2,11
5,BRANCH,tableSize,2,11
6,BRANCH,tableSize,2,11
7,BRANCH,tableSize,2,11
8,BRANCH,tableSize,2,11
9,BRANCH,tableSize,2,11
10,BRANCH,tableSize,2,11
1,BRANCH,toCompactValue,4,24
2,BRANCH,toCompactValue,4,24
3,BRANCH,toCompactValue,4,21
4,BRANCH,toCompactValue,4,24
5,BRANCH,toCompactValue,4,21
6,BRANCH,toCompactValue,4,24
7,BRANCH,toCompactValue,4,21
8,BRANCH,toCompactValue,4,24
9,BRANCH,toCompactValue,4,24
10,BRANCH,toCompactValue,4,24
1,MCDC,addWithOverflowDefault,2,9.5
2,MCDC,addWithOverflowDefault,2,9.5
3,MCDC,addWithOverflowDefault,2,9.5
4,MCDC,addWithOverflowDefault,2,9.5
5,MCDC,addWithOverflowDefault,2,9.5
6,MCDC,addWithOverflowDefault,2,9.5
7,MCDC,addWithOverflowDefault,2,9
8,MCDC,addWithOverflowDefault,2,9
9,MCDC,addWithOverflowDefault,2,9.5
10,MCDC,addWithOverflowDefault,2,9.5
1,MCDC,binaryGcd,2.6667,12.3333
2,MCDC,binaryGcd,2.6667,12.3333
3,MCDC,binaryGcd,2.6667,12.3333
4,MCDC,binaryGcd,2.6667,12.3333
5,MCDC,binaryGcd,2.6667,12.3333
6,MCDC,binaryGcd,2.6667,12.3333
7,MCDC,binaryGcd,2.6667,12.3333
8,MCDC,binaryGcd,2.6667,12.3333
9,MCDC,binaryGcd,2.6667,12.3333
10,MCDC,binaryGcd,2.6667,12.3333
1,MCDC,binarySearch,4,22.6667
2,MCDC,binarySearch,4,23
3,MCDC,binarySearch,4,22.6667
4,MCDC,binarySearch,4,22.6667
5,MCDC,binarySearch,4,22.6667
6,MCDC,binarySearch,4,23
7,MCDC,binarySearch,4,23
8,MCDC,binarySearch,4,22.6667
9,MCDC,binarySearch,4,22.6667
10,MCDC,binarySearch,4,22.6667
11,MCDC,binarySearch,4,22.6667
12,MCDC,binarySearch,4,22.6667
13,MCDC,binarySearch,4,23
14,MCDC,binarySearch,4,22.6667
15,MCDC,binarySearch,4,23
16,MCDC,binarySearch,4,22.6667
17,MCDC,binarySearch,4,22.6667
18,MCDC,binarySearch,4,23
19,MCDC,binarySearch,4,22.6667
20,MCDC,binarySearch,4,22.6667
1,MCDC,computeUInt64SizeNoTag,1,21.2
2,MCDC,computeUInt64SizeNoTag,1,21.2
3,MCDC,computeUInt64SizeNoTag,1,21.2
4,MCDC,computeUInt64SizeNoTag,1,21.2
5,MCDC,computeUInt64SizeNoTag,1,21.2
6,MCDC,computeUInt64SizeNoTag,1,21.2
7,MCDC,computeUInt64SizeNoTag,1,21.2
8,MCDC,computeUInt64SizeNoTag,1,21.2
9,MCDC,computeUInt64SizeNoTag,1,21.2
10,MCDC,computeUInt64SizeNoTag,1,21.2
1,MCDC,countBits,1,35.6552
2,MCDC,countBits,1,35.6552
3,MCDC,countBits,1,35.6552
4,MCDC,countBits,1,35.6552
5,MCDC,countBits,1,35.6552
6,MCDC,countBits,1,35.6552
7,MCDC,countBits,1,35.6552
8,MCDC,countBits,1,35.6552
9,MCDC,countBits,1,35.6552
10,MCDC,countBits,1,35.6552
1,MCDC,divWord,1.6667,20
2,MCDC,divWord,1.6667,20
3,MCDC,divWord,1.6667,20
4,MCDC,divWord,1.6667,20
5,MCDC,divWord,1.6667,20
6,MCDC,divWord,1.6667,20
7,MCDC,divWord,1.6667,20
8,MCDC,divWord,1.6667,20
9,MCDC,divWord,1.6667,20
10,MCDC,divWord,1.6667,20
1,MCDC,divadd,2,12
2,MCDC,divadd,2,12
3,MCDC,divadd,2,12
4,MCDC,divadd,2,12
5,MCDC,divadd,2,12
6,MCDC,divadd,2,12
7,MCDC,divadd,2,12
8,MCDC,divadd,2,12
9,MCDC,divadd,2,12
10,MCDC,divadd,2,12
1,MCDC,encodeCopy,2,54.7143
2,MCDC,encodeCopy,2,54.7143
3,MCDC,encodeCopy,2,54.7143
4,MCDC,encodeCopy,2,54.7143
5,MCDC,encodeCopy,2,54.7143
6,MCDC,encodeCopy,2,54.7143
7,MCDC,encodeCopy,2,54.7143
8,MCDC,encodeCopy,2,54.7143
9,MCDC,encodeCopy,2,54.7143
10,MCDC,encodeCopy,2,54.7143
1,MCDC,expandedCapacity,1.8,22.6
2,MCDC,expandedCapacity,1.8,22.6
3,MCDC,expandedCapacity,1.8,22.6
4,MCDC,expandedCapacity,1.8,22.6
5,MCDC,expandedCapacity,1.8,22.6
6,MCDC,expandedCapacity,1.8,22.6
7,MCDC,expandedCapacity,1.8,22.6
8,MCDC,expandedCapacity,1.8,22.6
9,MCDC,expandedCapacity,1.8,22.6
10,MCDC,expandedCapacity,1.8,22.6
1,MCDC,findCodePoint,3.9231,48.1538
2,MCDC,findCodePoint,3.9231,48.1538
3,MCDC,findCodePoint,3.9231,48.1538
4,MCDC,findCodePoint,3.9231,48.1538
5,MCDC,findCodePoint,3.9231,48.1538
6,MCDC,findCodePoint,3.9231,48.1538
7,MCDC,findCodePoint,3.9231,48.1538
8,MCDC,findCodePoint,3.9231,48.1538
9,MCDC,findCodePoint,3.9231,48.1538
10,MCDC,findCodePoint,3.9231,48.1538
1,MCDC,gcd,2.4,14.6
2,MCDC,gcd,2.4,14.6
3,MCDC,gcd,2.4,14.6
4,MCDC,gcd,2.4,14.6
5,MCDC,gcd,2.4,14.6
6,MCDC,gcd,2.4,14.6
7,MCDC,gcd,2.4,14.6
8,MCDC,gcd,2.4,14.6
9,MCDC,gcd,2.4,14.6
10,MCDC,gcd,2.4,14.6
1,MCDC,getCases,2,10.3
2,MCDC,getCases,2,10.3
3,MCDC,getCases,2,10.3
4,MCDC,getCases,2,10.3
5,MCDC,getCases,2,10.3
6,MCDC,getCases,2,10.3
7,MCDC,getCases,2,10.3
8,MCDC,getCases,2,10.3
9,MCDC,getCases,2,10.3
10,MCDC,getCases,2,10.3
1,MCDC,getLengthBytes,1,10
2,MCDC,getLengthBytes,1,10
3,MCDC,getLengthBytes,1,10
4,MCDC,getLengthBytes,1,10
5,MCDC,getLengthBytes,1,10
6,MCDC,getLengthBytes,1,10
7,MCDC,getLengthBytes,1,10
8,MCDC,getLengthBytes,1,10
9,MCDC,getLengthBytes,1,10
10,MCDC,getLengthBytes,1,10
1,MCDC,getNumOfLenBytes,1,10
2,MCDC,getNumOfLenBytes,1,10
3,MCDC,getNumOfLenBytes,1,10
4,MCDC,getNumOfLenBytes,1,10
5,MCDC,getNumOfLenBytes,1,10
6,MCDC,getNumOfLenBytes,1,10
7,MCDC,getNumOfLenBytes,1,10
8,MCDC,getNumOfLenBytes,1,10
9,MCDC,getNumOfLenBytes,1,10
10,MCDC,getNumOfLenBytes,1,10
1,MCDC,getPairIndex,4,157.6667
2,MCDC,getPairIndex,4,157.6667
3,MCDC,getPairIndex,4,157.6667
4,MCDC,getPairIndex,4,157.6667
5,MCDC,getPairIndex,4,157.6667
6,MCDC,getPairIndex,4,157.6667
7,MCDC,getPairIndex,4,157.6667
8,MCDC,getPairIndex,4,157.6667
9,MCDC,getPairIndex,4,157.6667
10,MCDC,getPairIndex,4,157.6667
1,MCDC,getPrimaries,1.6667,8
2,MCDC,getPrimaries,1.6667,8
3,MCDC,getPrimaries,1.6667,8
4,MCDC,getPrimaries,1.6667,8
5,MCDC,getPrimaries,1.6667,8
6,MCDC,getPrimaries,1.6667,8
7,MCDC,getPrimaries,1.6667,8
8,MCDC,getPrimaries,1.6667,8
9,MCDC,getPrimaries,1.6667,8
10,MCDC,getPrimaries,1.6667,8
1,MCDC,getQuaternaries,1.6667,8.8333
2,MCDC,getQuaternaries,1.6667,8.8333
3,MCDC,getQuaternaries,1.6667,8.8333
4,MCDC,getQuaternaries,1.6667,8.8333
5,MCDC,getQuaternaries,1.6667,8.8333
6,MCDC,getQuaternaries,1.6667,8.8333
7,MCDC,getQuaternaries,1.6667,8.8333
8,MCDC,getQuaternaries,1.6667,8.8333
9,MCDC,getQuaternaries,1.6667,8.8333
10,MCDC,getQuaternaries,1.6667,8.8333
1,MCDC,getSecondariesFromOneShortCE,1,6
2,MCDC,getSecondariesFromOneShortCE,1,6
3,MCDC,getSecondariesFromOneShortCE,1,6
4,MCDC,getSecondariesFromOneShortCE,1,6
5,MCDC,getSecondariesFromOneShortCE,1,6
6,MCDC,getSecondariesFromOneShortCE,1,6
7,MCDC,getSecondariesFromOneShortCE,1,6
8,MCDC,getSecondariesFromOneShortCE,1,6
9,MCDC,getSecondariesFromOneShortCE,1,6
10,MCDC,getSecondariesFromOneShortCE,1,6
1,MCDC,getTertiaries,2.3333,10.4167
2,MCDC,getTertiaries,2.3333,10.4167
3,MCDC,getTertiaries,2.3333,10.4167
4,MCDC,getTertiaries,2.3333,10.4167
5,MCDC,getTertiaries,2.3333,10.4167
6,MCDC,getTertiaries,2.3333,10.4167
7,MCDC,getTertiaries,2.3333,10.4167
8,MCDC,getTertiaries,2.3333,10.4167
9,MCDC,getTertiaries,2.3333,10.4167
10,MCDC,getTertiaries,2.3333,10.4167
1,MCDC,highBit,1,17.2
2,MCDC,highBit,1,17.2
3,MCDC,highBit,1,17.2
4,MCDC,highBit,1,17.2
5,MCDC,highBit,1,17.2
6,MCDC,highBit,1,17.2
7,MCDC,highBit,1,17.2
8,MCDC,highBit,1,17.2
9,MCDC,highBit,1,17.2
10,MCDC,highBit,1,17.2
1,MCDC,isCompatibleBrand,1.6667,10
2,MCDC,isCompatibleBrand,1.6667,10
3,MCDC,isCompatibleBrand,1.6667,10
4,MCDC,isCompatibleBrand,1.6667,10
5,MCDC,isCompatibleBrand,1.6667,10
6,MCDC,isCompatibleBrand,1.6667,10
7,MCDC,isCompatibleBrand,1.6667,10
8,MCDC,isCompatibleBrand,1.6667,10
9,MCDC,isCompatibleBrand,1.6667,10
10,MCDC,isCompatibleBrand,1.6667,10
1,MCDC,lookup,2,13.8
2,MCDC,lookup,2,13.8
3,MCDC,lookup,2,13.8
4,MCDC,lookup,2,13.8
5,MCDC,lookup,2,13.8
6,MCDC,lookup,2,13.8
7,MCDC,lookup,2,13.8
8,MCDC,lookup,2,13.8
9,MCDC,lookup,2,13.8
10,MCDC,lookup,2,13.8
1,MCDC,mulsub,3,13
2,MCDC,mulsub,3,13
3,MCDC,mulsub,3,13
4,MCDC,mulsub,3,13
5,MCDC,mulsub,3,13
6,MCDC,mulsub,3,13
7,MCDC,mulsub,3,13
8,MCDC,mulsub,3,13
9,MCDC,mulsub,3,13
10,MCDC,mulsub,3,13
1,MCDC,mulsubBorrow,3,13
2,MCDC,mulsubBorrow,3,13
3,MCDC,mulsubBorrow,3,13
4,MCDC,mulsubBorrow,3,13
5,MCDC,mulsubBorrow,3,13
6,MCDC,mulsubBorrow,3,13
7,MCDC,mulsubBorrow,3,13
8,MCDC,mulsubBorrow,3,13
9,MCDC,mulsubBorrow,3,13
10,MCDC,mulsubBorrow,3,13
1,MCDC,next,0,0
2,MCDC,next,0,0
3,MCDC,next,0,0
4,MCDC,next,0,0
5,MCDC,next,0,0
6,MCDC,next,0,0
7,MCDC,next,0,0
8,MCDC,next,0,0
9,MCDC,next,0,0
10,MCDC,next,0,0
1,MCDC,numberOfLeadingZeros,1,14.5
2,MCDC,numberOfLeadingZeros,1,14.5
3,MCDC,numberOfLeadingZeros,1,14.5
4,MCDC,numberOfLeadingZeros,1,14.5
5,MCDC,numberOfLeadingZeros,1,14.5
6,MCDC,numberOfLeadingZeros,1,14.5
7,MCDC,numberOfLeadingZeros,1,14.5
8,MCDC,numberOfLeadingZeros,1,14.5
9,MCDC,numberOfLeadingZeros,1,14.5
10,MCDC,numberOfLeadingZeros,1,14.5
1,MCDC,numberOfTrailingZeros,1,18.8
2,MCDC,numberOfTrailingZeros,1,18.8
3,MCDC,numberOfTrailingZeros,1,18.8
4,MCDC,numberOfTrailingZeros,1,18.8
5,MCDC,numberOfTrailingZeros,1,18.8
6,MCDC,numberOfTrailingZeros,1,18.8
7,MCDC,numberOfTrailingZeros,1,18.8
8,MCDC,numberOfTrailingZeros,1,18.8
9,MCDC,numberOfTrailingZeros,1,18.8
10,MCDC,numberOfTrailingZeros,1,18.8
1,MCDC,pow,1.6667,7.6667
2,MCDC,pow,1.6667,7.6667
3,MCDC,pow,1.6667,7.6667
4,MCDC,pow,1.6667,7.6667
5,MCDC,pow,1.6667,7.6667
6,MCDC,pow,1.6667,7.6667
7,MCDC,pow,1.6667,7.6667
8,MCDC,pow,1.6667,7.6667
9,MCDC,pow,1.6667,7.6667
10,MCDC,pow,1.6667,7.6667
1,MCDC,random,1.8,13.6
2,MCDC,random,1.8,13.6
3,MCDC,random,1.8,13.6
4,MCDC,random,1.8,13.6
5,MCDC,random,1.8,13.6
6,MCDC,random,1.8,13.6
7,MCDC,random,1.8,13.6
8,MCDC,random,1.8,13.6
9,MCDC,random,1.8,13.6
10,MCDC,random,1.8,13.6
1,MCDC,readBits,3.3333,14
2,MCDC,readBits,3.3333,14
3,MCDC,readBits,3.3333,14
4,MCDC,readBits,3.3333,14
5,MCDC,readBits,3.3333,14
6,MCDC,readBits,3.3333,14
7,MCDC,readBits,3.3333,14
8,MCDC,readBits,3.3333,14
9,MCDC,readBits,3.3333,14
10,MCDC,readBits,3.3333,14
1,MCDC,saturatedAdd,2,10
2,MCDC,saturatedAdd,2,10
3,MCDC,saturatedAdd,2,10
4,MCDC,saturatedAdd,2,10
5,MCDC,saturatedAdd,2,10
6,MCDC,saturatedAdd,2,10
7,MCDC,saturatedAdd,2,10
8,MCDC,saturatedAdd,2,10
9,MCDC,saturatedAdd,2,10
10,MCDC,saturatedAdd,2,10
1,MCDC,saturatedMultiply,2,180.75
2,MCDC,saturatedMultiply,2,180.75
3,MCDC,saturatedMultiply,2,180.75
4,MCDC,saturatedMultiply,2,180.75
5,MCDC,saturatedMultiply,2,180.75
6,MCDC,saturatedMultiply,2,180.75
7,MCDC,saturatedMultiply,2,180.75
8,MCDC,saturatedMultiply,2,180.75
9,MCDC,saturatedMultiply,2,180.75
10,MCDC,saturatedMultiply,2,180.75
1,MCDC,saturatedSubtract,2,12
2,MCDC,saturatedSubtract,2,12
3,MCDC,saturatedSubtract,2,12
4,MCDC,saturatedSubtract,2,12
5,MCDC,saturatedSubtract,2,12
6,MCDC,saturatedSubtract,2,12
7,MCDC,saturatedSubtract,2,12
8,MCDC,saturatedSubtract,2,12
9,MCDC,saturatedSubtract,2,12
10,MCDC,saturatedSubtract,2,12
1,MCDC,set32x64Bits,0,0
2,MCDC,set32x64Bits,0,0
3,MCDC,set32x64Bits,0,0
4,MCDC,set32x64Bits,0,0
5,MCDC,set32x64Bits,0,0
6,MCDC,set32x64Bits,0,0
7,MCDC,set32x64Bits,0,0
8,MCDC,set32x64Bits,0,0
9,MCDC,set32x64Bits,0,0
10,MCDC,set32x64Bits,0,0
1,MCDC,slide,0,0
2,MCDC,slide,0,0
3,MCDC,slide,0,0
4,MCDC,slide,0,0
5,MCDC,slide,0,0
6,MCDC,slide,0,0
7,MCDC,slide,0,0
8,MCDC,slide,0,0
9,MCDC,slide,0,0
10,MCDC,slide,0,0
1,MCDC,stickyRound,1,8
2,MCDC,stickyRound,1,8
3,MCDC,stickyRound,1,8
4,MCDC,stickyRound,1,8
5,MCDC,stickyRound,1,8
6,MCDC,stickyRound,1,8
7,MCDC,stickyRound,1,8
8,MCDC,stickyRound,1,8
9,MCDC,stickyRound,1,8
10,MCDC,stickyRound,1,8
1,MCDC,subtractWithOverflowDefault,2,10.5
2,MCDC,subtractWithOverflowDefault,2,10.5
3,MCDC,subtractWithOverflowDefault,2,10.5
4,MCDC,subtractWithOverflowDefault,2,10
5,MCDC,subtractWithOverflowDefault,2,10.5
6,MCDC,subtractWithOverflowDefault,2,10.5
7,MCDC,subtractWithOverflowDefault,2,10.5
8,MCDC,subtractWithOverflowDefault,2,10
9,MCDC,subtractWithOverflowDefault,2,10.5
1,MCDC,tableSize,2,11
2,MCDC,tableSize,2,11
3,MCDC,tableSize,2,11
4,MCDC,tableSize,2,11
5,MCDC,tableSize,2,11
6,MCDC,tableSize,2,11
7,MCDC,tableSize,2,11
8,MCDC,tableSize,2,11
9,MCDC,tableSize,2,11
10,MCDC,tableSize,2,11
1,MCDC,toCompactValue,3.3333,15
2,MCDC,toCompactValue,3.6667,18.3333
3,MCDC,toCompactValue,3.6667,18.3333
4,MCDC,toCompactValue,3.6667,18.3333
5,MCDC,toCompactValue,3.3333,15
6,MCDC,toCompactValue,3.6667,18.3333
7,MCDC,toCompactValue,3.6667,18.3333
8,MCDC,toCompactValue,3.6667,18.3333
9,MCDC,toCompactValue,3.6667,18.3333
10,MCDC,toCompactValue,3.6667,18.3333
