coverage_type,method_name,completed_runs,average_coverage_percent,average_time_ms,average_memory_mb,average_variable_count,average_z3_expression_count,status
MCDC,"binarySearch(int[],int,int)",10,100,1596.6,74.339045,10,57,OK
MCDC,"binarySearch(long[],int,long)",10,100,1865.3,74.287807,9.6,54.8,OK
MCDC,computeUInt64SizeNoTag,10,100,4482.7,75.324337,5.4,115.1,OK
MCDC,countBits,10,100,1710.6,78.628735,29,1034,OK
MCDC,divWord,10,66.666667,3484.2,79.181114,5,64,OK
MCDC,divadd,10,100,781.8,76.811302,2,12,OK
MCDC,encodeCopy,10,100,3485.5,76.707092,14,383,OK
MCDC,expandedCapacity,10,100,2284.8,85.006801,9,113,OK
MCDC,findCodePoint,10,100,2755.3,77.328432,51,626,OK
MCDC,gcd,10,100,2813.9,118.394795,12,73,OK
MCDC,getCases,10,100,4845.7,80.810734,20,103,OK
MCDC,getLengthBytes,10,100,2494.0,75.457312,4,40,OK
MCDC,getNumOfLenBytes,10,100,2416.0,75.416614,4,40,OK
MCDC,getPairIndex,10,100,2354.4,85.112431,12,473,OK
MCDC,getPrimaries,10,100,1982.3,77.759574,5,24,OK
MCDC,getQuaternaries,10,100,3062.2,78.972406,10,53,OK
MCDC,getSecondariesFromOneShortCE,10,100,844.6,77.185771,1,6,OK
MCDC,getTertiaries,10,100,5817.5,81.825291,28,125,OK
MCDC,highBit,10,100,2628.1,75.814809,5,86,OK
MCDC,isCompatibleBrand,10,100,1972.9,74.087589,5,30,OK
MCDC,lookup,10,100,1689.2,78.169554,10,69,OK
MCDC,mulsub,10,100,1585.1,76.801315,3,13,OK
MCDC,mulsubBorrow,10,100,896.9,76.812683,3,13,OK
MCDC,next,10,100,687.3,73.651880,0,0,OK
MCDC,numberOfLeadingZeros,10,100,2350.4,74.959089,4,58,OK
MCDC,numberOfTrailingZeros,10,100,3022.9,75.269665,5,94,OK
MCDC,pow,10,100,1803.8,78.354200,5,23,OK
MCDC,random,10,83.333333,1362.7,77.481940,9,68,OK
MCDC,readBits,10,100,1861.4,74.121520,10,42,OK
MCDC,saturatedAdd,10,100,1132.2,77.910566,2,10,OK
MCDC,saturatedMultiply,10,80,3233.9,93.837433,8,1324.9,OK
MCDC,saturatedSubtract,10,100,974.4,85.297189,2,12,OK
MCDC,set32x64Bits,10,55.555556,7406.4,88.206997,60,604,OK
MCDC,slide,10,5,8632.2,19840.720940,0,0,OK
MCDC,stickyRound,10,75,1387.8,75.735638,1,8,OK
MCDC,subtractWithOverflowDefault,10,100,775.9,73.463117,2,10,OK
MCDC,tableSize,10,50,1444.9,74.657278,2,11,OK
MCDC,toCompactValue,10,100,3381.9,77.985130,13,60.4,OK
MCDC,check,0,,,,,,TIMEOUT
MCDC,isWellFormedSlowPath,0,,,,,,COMPILE_ERROR
MCDC,isValidUtf8NonAscii,0,,,,,,TIMEOUT
